    x          z
  -11.0360   -6.0390
  -10.9954   -6.0250
  -11.2440   -5.9751
  -11.2815   -5.9807
  -11.2566   -5.5852
  -11.1025   -5.3083
  -10.8438   -5.0307
  -10.2356   -4.6981
  -10.3445   -4.7469
  -10.2644   -4.8354
  -10.1837   -5.4104
  -10.3268   -5.2579
  -10.1847   -5.1392
  -10.1049   -5.0329
   -9.8456   -4.4797
   -9.8551   -4.6193
   -9.7885   -4.3986
   -9.2450   -4.3325
   -8.8411   -4.1194
   -8.9415   -3.8958
   -8.9319   -3.9100
   -9.2350   -3.5707
   -9.7914   -3.3129
   -9.9212   -3.2922
  -10.2081   -3.2432
  -10.0368   -3.1327
  -10.0611   -2.4077
  -10.2270   -2.2908
   -9.8411   -2.1336
   -9.9328   -1.5857
   22.5782    4.8344
   22.7374    5.1674
   22.6504    5.2392
   23.5911    4.9614
   23.3653    4.8632
   23.2394    4.6638
   23.1517    4.1836
   23.0543    4.1719
   22.8279    3.8620
   22.7832    3.8768
   22.4227    3.6759
   22.3878    3.8030
   22.4680    4.2617
   22.2174    3.7439
   22.4412    4.2000
   22.0992    4.2053
   22.1016    4.1394
   22.2362    4.7932
   21.8812    4.6982
   22.2679    4.9319
   22.4282    5.0250
   22.4396    5.0574
   22.5668    5.1436
   22.5382    5.3188
   23.0205    5.4798
   23.0439    5.5754
   23.2810    5.7388
   23.6310    5.9095
   23.6444    6.0550
   24.1316    5.4130
  -29.7049   -9.2781
  -29.6372   -9.3421
  -29.5618   -9.4732
  -29.8423   -9.3804
  -29.7551   -9.4884
  -29.0621   -9.9719
  -29.1161  -10.0940
  -29.6609  -10.5135
  -29.8296  -10.4417
  -29.8313  -10.7182
  -29.4927  -11.1202
  -29.4202  -11.0159
  -29.3999  -11.2700
  -29.5601  -11.3337
  -29.8710  -11.7083
  -30.3228  -11.7424
  -30.2212  -11.4176
  -30.4562  -11.8852
  -30.5804  -12.4148
  -30.4359  -12.2560
  -31.1260  -11.7623
  -31.1671  -11.9079
  -31.3230  -11.9633
  -31.5562  -12.3518
  -31.1532  -12.4461
  -31.2685  -12.5916
  -31.1154  -12.5867
  -31.0229  -11.9176
  -31.2866  -11.8086
  -30.5907  -11.6330
   -1.8271    2.2031
   -2.0795    2.0090
   -1.6670    1.8922
   -1.7882    1.6351
   -1.8894    1.5070
   -1.8019    1.3715
   -2.1005    1.2771
   -2.1553    0.9019
   -2.4607    1.0060
   -2.5469    0.6741
   -2.3141    0.8709
   -2.4305    0.9267
   -2.8843    1.2352
   -3.4453    1.3877
   -3.3731    1.3503
   -3.6041    1.3804
   -3.8913    1.2291
   -3.8893    1.1070
   -4.2966    0.9586
   -4.8569    1.4100
   -4.8445    1.2829
   -4.7961    1.3067
   -4.4970    1.7570
   -4.6852    2.0768
   -5.0109    2.2581
   -5.4320    1.9792
   -5.4183    2.2858
   -5.4441    2.2701
   -5.7604    2.1630
   -5.4551    2.0973
  -32.3798    5.5262
  -32.2627    5.5295
  -32.1879    5.2172
  -32.1829    5.4570
  -32.3572    5.4223
  -32.3053    5.5680
  -32.1879    5.5976
  -31.5426    5.5373
  -31.5335    5.8297
  -31.5983    5.8258
  -31.3570    5.8442
  -31.8215    6.2793
  -31.2678    6.6777
  -31.1010    6.6471
  -30.9958    6.5607
  -30.4560    6.2270
  -30.4507    6.5677
  -30.3595    6.8016
  -29.8907    6.7128
  -29.8850    6.3286
  -29.9728    6.4874
  -29.7398    5.7953
  -29.6803    5.4636
  -29.5367    5.3382
  -29.3159    4.8799
  -28.9907    5.7248
  -29.1642    5.4981
  -29.0851    5.9893
  -29.2617    5.9494
  -29.7438    5.5493
